epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0477,2.70179,4.02603,2.3518,0.00244,0.78571,0.01745,0.00537,2.91589,4.97108,3.08267,4e-05,4e-05,4e-05
2,49.2241,2.58223,3.79556,2.60875,0.002,0.64286,0.02962,0.01009,2.73784,5.04731,2.94055,9.934e-05,9.934e-05,9.934e-05
3,68.4255,2.39828,3.85076,2.41096,0.002,0.64286,0.03078,0.01177,2.8501,4.97577,2.99621,0.000157888,0.000157888,0.000157888
4,86.3129,2.32181,3.5632,2.11815,0.00267,0.85714,0.03419,0.0141,2.63682,5.06755,2.78492,0.000215644,0.000215644,0.000215644
5,102.999,1.85461,3.47455,1.95841,0.00244,0.78571,0.03618,0.01428,2.67763,5.00121,2.75472,0.000272608,0.000272608,0.000272608
6,117.6,2.22747,3.57939,2.1683,0.00289,0.92857,0.04477,0.01624,2.5762,5.09809,2.63105,0.00032878,0.00032878,0.00032878
7,134.421,1.92197,3.41498,1.89021,0.00289,0.92857,0.05895,0.01563,2.7554,4.99318,2.78088,0.00038416,0.00038416,0.00038416
8,160.352,2.34618,3.18983,2.19444,0.00289,0.92857,0.06728,0.01244,2.82893,4.65488,2.92813,0.000438748,0.000438748,0.000438748
9,186.475,1.80336,2.94558,1.88602,0.00267,0.85714,0.11126,0.02497,2.69331,4.48283,2.88094,0.000492544,0.000492544,0.000492544
10,209.373,2.00461,3.30746,1.92725,0.00289,0.92857,0.11075,0.02799,2.64331,4.54115,2.88118,0.000545548,0.000545548,0.000545548
11,228.9,2.35666,3.69873,2.24008,0.00311,1,0.09092,0.02863,2.59973,4.75293,2.85819,0.00059776,0.00059776,0.00059776
12,247.526,1.70961,2.76288,1.81369,0.00311,1,0.09775,0.03211,2.58288,4.59358,2.78188,0.00064918,0.00064918,0.00064918
13,270.7,1.8284,3.13594,1.9328,0.00267,0.85714,0.05947,0.02784,2.72757,4.68667,2.77157,0.000699808,0.000699808,0.000699808
14,289.508,2.19965,3.94855,2.27348,0.00267,0.85714,0.05518,0.032,2.41043,4.92915,2.51949,0.000749644,0.000749644,0.000749644
15,307.209,1.85554,2.93044,1.92042,0.00222,0.71429,0.01826,0.00625,2.94026,5.08655,3.05784,0.000798688,0.000798688,0.000798688
16,325.524,2.14547,3.22253,2.20743,0.00311,1,0.01901,0.00497,2.95488,5.51207,3.15474,0.00084694,0.00084694,0.00084694
17,404.771,1.97249,2.82353,2.03758,0.24954,0.07143,0.06597,0.0203,3.02465,5.2568,3.94758,0.0008944,0.0008944,0.0008944
18,420.915,1.84192,3.17902,1.86606,0.19666,0.14286,0.07331,0.02922,2.92296,4.49836,3.52304,0.000941068,0.000941068,0.000941068
19,434.31,2.0331,3.23951,2.08759,0.4118,0.07143,0.09839,0.01515,2.78863,4.72216,3.10461,0.000986944,0.000986944,0.000986944
20,447.46,2.2046,3.20909,2.121,0.00311,1,0.03948,0.01077,2.39199,4.57771,2.85581,0.00103203,0.00103203,0.00103203
21,471.998,2.63493,4.51138,2.5507,0.25323,0.14286,0.12081,0.0188,2.58073,4.82329,3.29899,0.00107632,0.00107632,0.00107632
22,490.708,2.11356,3.19855,2.08594,0.12891,0.07143,0.03153,0.00747,2.85162,4.77422,3.5196,0.00111982,0.00111982,0.00111982
23,511.477,2.15407,3.12261,2.09916,0.08495,0.14286,0.03708,0.01135,2.73106,4.85312,3.26103,0.00116253,0.00116253,0.00116253
24,530.471,2.01667,3.10093,1.98492,0.17242,0.21429,0.06063,0.01328,2.86265,6.0709,3.89551,0.00120444,0.00120444,0.00120444
25,548.298,2.12069,3.09863,2.014,0.05814,0.21429,0.031,0.00889,2.73859,7.22709,3.88805,0.00124557,0.00124557,0.00124557
26,563.035,1.93786,2.90984,2.08982,0.06054,0.21429,0.03664,0.00894,2.7218,6.10019,4.0641,0.0012859,0.0012859,0.0012859
27,578.209,2.20184,2.91177,2.12781,0.02613,0.14286,0.01897,0.0063,2.66903,8.06152,3.69728,0.00132544,0.00132544,0.00132544
28,593.307,1.88434,2.75393,1.90193,0.0336,0.14286,0.01145,0.00439,2.62884,14.7342,3.6872,0.00136419,0.00136419,0.00136419
29,609.595,2.00838,2.57771,1.93799,0.0336,0.14286,0.01145,0.00439,2.62884,14.7342,3.6872,0.00140214,0.00140214,0.00140214
30,625.437,1.86294,2.96142,2.02375,0.0694,0.14286,0.02143,0.0093,2.55876,14.9287,3.66643,0.00143931,0.00143931,0.00143931
31,641.604,2.10918,3.06721,2.06813,0.03013,0.07143,0.01138,0.00511,2.33839,10.5831,3.23919,0.00147568,0.00147568,0.00147568
32,657.534,2.12792,2.98925,2.27031,0.01631,0.35714,0.01725,0.00497,2.44989,6.89628,3.2233,0.00151126,0.00151126,0.00151126
33,671.704,1.94059,2.68795,2.0355,0.01631,0.35714,0.01725,0.00497,2.44989,6.89628,3.2233,0.00154605,0.00154605,0.00154605
34,688.474,1.32224,6.06818,1.35582,0.04534,0.21429,0.03594,0.00922,2.78023,5.39923,3.4039,0.0015644,0.0015644,0.0015644
35,709.755,2.07271,2.89235,2.02568,0.19058,0.14286,0.05907,0.01049,2.73324,4.74058,3.37708,0.0015512,0.0015512,0.0015512
36,727.351,1.78795,2.76832,1.83636,0.27007,0.21429,0.10686,0.02782,2.56129,3.86685,2.95856,0.001538,0.001538,0.001538
37,743.786,2.06294,2.83433,2.13486,0.27007,0.21429,0.10686,0.02782,2.56129,3.86685,2.95856,0.0015248,0.0015248,0.0015248
38,762.952,2.37509,3.20599,2.33299,0.03873,0.28571,0.03176,0.00802,2.58616,4.14131,3.12825,0.0015116,0.0015116,0.0015116
39,778.056,1.90826,2.74094,1.94797,0.05063,0.42857,0.04634,0.0121,2.64341,4.95715,3.07908,0.0014984,0.0014984,0.0014984
40,795.501,1.86986,3.14848,2.05711,0.01195,0.42857,0.01257,0.0032,2.81162,12.7218,3.56632,0.0014852,0.0014852,0.0014852
