epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,815.218,2.17137,3.03938,2.0821,0.01195,0.42857,0.01257,0.0032,2.81162,12.7218,3.56632,0.001472,0.001472,0.001472
42,834.005,2.05387,2.95184,2.06568,0.0198,0.5,0.01569,0.00449,2.90515,39.4755,4.39847,0.0014588,0.0014588,0.0014588
43,850.914,1.79151,2.82448,1.943,0.01031,0.5,0.00841,0.00237,3.07344,139.791,5.12368,0.0014456,0.0014456,0.0014456
44,872.446,1.83478,2.82139,1.89185,0.00608,0.5,0.0051,0.00156,3.09835,184.915,5.25687,0.0014324,0.0014324,0.0014324
45,888.259,2.12794,2.88483,2.18493,0.00608,0.5,0.0051,0.00156,3.09835,184.915,5.25687,0.0014192,0.0014192,0.0014192
46,903.367,2.20426,2.85527,2.18376,0.0051,0.42857,0.00466,0.00105,3.07035,157.827,4.43065,0.001406,0.001406,0.001406
47,919.139,1.79168,2.42938,1.80764,0.00451,0.14286,0.00355,0.00089,3.15292,90.8497,4.41621,0.0013928,0.0013928,0.0013928
48,944.611,1.91781,2.68916,1.9661,0.0051,0.14286,0.00347,0.0006,3.32499,62.8661,4.51324,0.0013796,0.0013796,0.0013796
49,962.898,1.72865,2.47796,1.76873,0.0051,0.14286,0.00347,0.0006,3.32499,62.8661,4.51324,0.0013664,0.0013664,0.0013664
50,983.855,1.93571,2.57876,1.96206,0.00814,0.14286,0.00465,0.00082,3.37748,58.6257,4.5501,0.0013532,0.0013532,0.0013532
51,1002.04,1.64121,2.3769,1.79485,0.03222,0.28571,0.02933,0.00477,3.2773,49.879,4.34978,0.00134,0.00134,0.00134
52,1021.38,1.96114,2.76065,2.13646,0.02671,0.21429,0.01144,0.00236,3.5052,58.6478,4.50927,0.0013268,0.0013268,0.0013268
53,1041.22,1.69326,2.52473,1.74922,0.02671,0.21429,0.01144,0.00236,3.5052,58.6478,4.50927,0.0013136,0.0013136,0.0013136
54,1061.65,1.82752,2.74024,1.86497,0.02901,0.21429,0.01087,0.00244,3.54513,49.6694,4.64322,0.0013004,0.0013004,0.0013004
55,1080.44,1.87469,2.67897,2.06189,0.04525,0.14286,0.01379,0.00425,3.25441,19.6586,4.14509,0.0012872,0.0012872,0.0012872
56,1102.55,1.60916,2.54555,1.67144,0.18558,0.21429,0.12669,0.04718,2.85816,12.3437,3.36767,0.001274,0.001274,0.001274
57,1119.44,1.96588,3.01164,1.90836,0.18558,0.21429,0.12669,0.04718,2.85816,12.3437,3.36767,0.0012608,0.0012608,0.0012608
58,1136.21,1.9281,2.54335,1.84545,0.12985,0.21429,0.09958,0.04753,3.06576,6.14039,3.23648,0.0012476,0.0012476,0.0012476
59,1152.08,1.74809,2.27995,1.81972,0.62904,0.07143,0.10604,0.05342,3.04552,4.57137,3.21986,0.0012344,0.0012344,0.0012344
60,1169.8,1.8106,2.4975,1.83328,0.46675,0.07143,0.09864,0.04905,2.96814,3.92068,3.15204,0.0012212,0.0012212,0.0012212
61,1190.57,1.6831,2.56709,1.72566,0.46675,0.07143,0.09864,0.04905,2.96814,3.92068,3.15204,0.001208,0.001208,0.001208
62,1207.72,1.64196,2.29441,1.72061,0.58468,0.07143,0.09417,0.03815,2.95882,3.80724,3.02931,0.0011948,0.0011948,0.0011948
63,1226.86,1.72491,2.43134,1.87039,0.2636,0.07143,0.10557,0.05351,2.95312,3.80978,3.05907,0.0011816,0.0011816,0.0011816
64,1261.04,1.92628,2.45834,1.90077,0.11104,0.07143,0.03606,0.01554,3.30511,4.10403,3.48306,0.0011684,0.0011684,0.0011684
65,1280.02,1.62964,2.3108,1.75057,0.11104,0.07143,0.03606,0.01554,3.30511,4.10403,3.48306,0.0011552,0.0011552,0.0011552
66,1297.14,1.68069,2.31967,1.91905,0.03532,0.14286,0.02441,0.00801,3.14123,4.03402,3.29762,0.001142,0.001142,0.001142
67,1311.55,1.8115,2.24364,1.9558,0.13466,0.21429,0.14601,0.03225,3.18712,3.50356,3.45661,0.0011288,0.0011288,0.0011288
68,1329.61,1.87344,2.45143,2.0456,0.09709,0.21429,0.06537,0.01172,2.96902,3.84914,3.21061,0.0011156,0.0011156,0.0011156
69,1346.08,1.67604,2.44137,1.73833,0.09709,0.21429,0.06537,0.01172,2.96902,3.84914,3.21061,0.0011024,0.0011024,0.0011024
70,1361.58,1.68124,2.30377,1.81753,0.0357,0.42857,0.02908,0.00715,2.83292,4.35837,3.00157,0.0010892,0.0010892,0.0010892
71,1377.17,1.60117,2.23501,1.76074,0.0885,0.21429,0.03507,0.00853,3.05076,5.27232,3.2618,0.001076,0.001076,0.001076
72,1392.47,1.57876,2.3539,1.78384,0.12641,0.21429,0.03863,0.00732,3.03492,5.26161,3.23411,0.0010628,0.0010628,0.0010628
73,1410.65,1.69483,2.52954,1.86928,0.12641,0.21429,0.03863,0.00732,3.03492,5.26161,3.23411,0.0010496,0.0010496,0.0010496
74,1425.6,1.65374,2.3578,1.92003,0.076,0.14286,0.03683,0.00851,3.18476,4.07297,3.39868,0.0010364,0.0010364,0.0010364
75,1440.78,1.88933,2.57554,1.99138,0.0572,0.35714,0.03933,0.01215,3.20291,3.78329,3.80324,0.0010232,0.0010232,0.0010232
76,1457.58,1.62013,2.22576,1.76091,0.08119,0.47357,0.0629,0.01221,3.25201,3.56754,3.81629,0.00101,0.00101,0.00101
77,1472.57,1.30619,2.54449,1.54936,0.08119,0.47357,0.0629,0.01221,3.25201,3.56754,3.81629,0.0009968,0.0009968,0.0009968
78,1487.33,1.56045,1.942,1.60931,0.08675,0.28571,0.04996,0.01113,3.16293,3.73449,3.74594,0.0009836,0.0009836,0.0009836
79,1503.45,1.76746,2.3293,1.86283,0.07847,0.35714,0.06594,0.0119,2.94241,3.72283,3.29369,0.0009704,0.0009704,0.0009704
80,1518.73,1.62613,2.06587,1.74011,0.07504,0.21429,0.07966,0.03177,2.78795,3.57797,2.95124,0.0009572,0.0009572,0.0009572
81,1533.94,1.46395,2.13782,1.67893,0.07504,0.21429,0.07966,0.03177,2.78795,3.57797,2.95124,0.000944,0.000944,0.000944
82,1549.15,1.62718,2.37051,1.80528,0.0913,0.28571,0.07927,0.03773,2.73257,3.41956,2.84027,0.0009308,0.0009308,0.0009308
83,1567.86,1.6359,2.14532,1.62388,0.13588,0.21429,0.07451,0.04428,2.72068,3.42578,2.69217,0.0009176,0.0009176,0.0009176
84,1584.99,1.62765,2.15514,1.72806,0.15401,0.14286,0.06939,0.03882,2.63124,3.41086,2.57467,0.0009044,0.0009044,0.0009044
85,1601.77,1.55773,2.80135,1.86001,0.15401,0.14286,0.06939,0.03882,2.63124,3.41086,2.57467,0.0008912,0.0008912,0.0008912
86,1617.89,1.58808,2.25491,1.88651,0.23314,0.21429,0.07704,0.04083,2.68092,3.42891,2.59937,0.000878,0.000878,0.000878
87,1639.59,1.71002,2.22405,1.83416,0.20295,0.25563,0.0774,0.03829,2.81547,3.39684,2.79425,0.0008648,0.0008648,0.0008648
88,1655.88,1.58171,1.98749,1.75761,0.12372,0.21429,0.06812,0.02912,2.7381,3.34669,2.73505,0.0008516,0.0008516,0.0008516
89,1672.54,1.4949,2.152,1.67271,0.12372,0.21429,0.06812,0.02912,2.7381,3.34669,2.73505,0.0008384,0.0008384,0.0008384
90,1690.82,1.67495,2.33351,2.00488,0.17798,0.21429,0.08749,0.03489,2.81845,3.21303,2.76044,0.0008252,0.0008252,0.0008252
91,1705.78,1.3399,1.88422,1.59043,0.131,0.21429,0.07828,0.02894,2.73216,3.25877,2.70729,0.000812,0.000812,0.000812
92,1722.5,1.58071,2.30606,1.68295,0.10612,0.28571,0.05733,0.02069,2.74189,3.36646,2.68645,0.0007988,0.0007988,0.0007988
93,1741.23,1.30425,1.76411,1.415,0.10612,0.28571,0.05733,0.02069,2.74189,3.36646,2.68645,0.0007856,0.0007856,0.0007856
94,1756.54,1.47024,1.92282,1.59952,0.0763,0.28571,0.04976,0.01906,2.72079,3.42495,2.65729,0.0007724,0.0007724,0.0007724
95,1771.32,1.48574,2.02148,1.76133,0.11197,0.21429,0.03683,0.01552,2.67305,3.41377,2.66067,0.0007592,0.0007592,0.0007592
96,1786.66,1.56337,2.27164,1.66504,0.1194,0.21429,0.03797,0.01705,2.65433,3.44955,2.60521,0.000746,0.000746,0.000746
97,1800.63,1.5107,2.08271,1.72879,0.1194,0.21429,0.03797,0.01705,2.65433,3.44955,2.60521,0.0007328,0.0007328,0.0007328
98,1814.81,1.56412,2.18491,1.65648,0.09151,0.14286,0.04185,0.01593,2.68039,3.40272,2.58277,0.0007196,0.0007196,0.0007196
99,1830.38,1.44589,2.51817,1.60859,0.0884,0.14286,0.03987,0.0186,2.6584,3.3232,2.53145,0.0007064,0.0007064,0.0007064
100,1845.55,1.29859,1.83952,1.43923,0.1109,0.21429,0.04797,0.02214,2.71932,3.19327,2.58818,0.0006932,0.0006932,0.0006932
101,1861.87,1.20817,1.8904,1.48898,0.1109,0.21429,0.04797,0.02214,2.71932,3.19327,2.58818,0.00068,0.00068,0.00068
102,1883.42,1.56353,2.03172,1.6094,0.14339,0.21429,0.0768,0.03399,2.75858,3.1273,2.70723,0.0006668,0.0006668,0.0006668
103,1903.97,1.55817,2.0825,1.64627,0.14703,0.21429,0.08888,0.03217,2.67118,3.08104,2.69046,0.0006536,0.0006536,0.0006536
104,1928.09,1.37711,2.09699,1.59215,0.18387,0.21429,0.09346,0.03162,2.58789,3.03448,2.75415,0.0006404,0.0006404,0.0006404
105,1951.49,1.43865,1.86026,1.5593,0.18387,0.21429,0.09346,0.03162,2.58789,3.03448,2.75415,0.0006272,0.0006272,0.0006272
106,1973.06,1.32044,1.82233,1.51153,0.22479,0.21429,0.09284,0.03412,2.47738,3.06443,2.7501,0.000614,0.000614,0.000614
107,1988.59,1.43964,2.14514,1.64534,0.23838,0.21429,0.08803,0.03655,2.4285,3.04525,2.73797,0.0006008,0.0006008,0.0006008
108,2003.91,1.48166,2.26538,1.65421,0.2288,0.21429,0.09691,0.03441,2.37159,3.0954,2.70202,0.0005876,0.0005876,0.0005876
109,2019.62,1.27381,1.75089,1.49472,0.2288,0.21429,0.09691,0.03441,2.37159,3.0954,2.70202,0.0005744,0.0005744,0.0005744
110,2035.85,1.395,2.05272,1.60086,0.28242,0.21429,0.1049,0.03715,2.38982,3.13993,2.63723,0.0005612,0.0005612,0.0005612
111,2059.91,1.48206,2.18976,1.67251,0.28377,0.21429,0.10286,0.04563,2.46273,3.1066,2.65438,0.000548,0.000548,0.000548
112,2081.26,1.44475,1.94709,1.69329,0.29126,0.21429,0.13955,0.06092,2.48475,3.09626,2.64198,0.0005348,0.0005348,0.0005348
113,2104.85,1.47802,2.07825,1.71404,0.29126,0.21429,0.13955,0.06092,2.48475,3.09626,2.64198,0.0005216,0.0005216,0.0005216
114,2158.21,1.49728,2.61044,1.63491,0.27065,0.21429,0.14449,0.06414,2.46753,3.11445,2.62815,0.0005084,0.0005084,0.0005084
115,2185.71,1.24837,1.84666,1.51391,0.37427,0.21429,0.18727,0.07334,2.447,3.12802,2.60899,0.0004952,0.0004952,0.0004952
116,2205.03,1.1764,1.81156,1.46782,0.30453,0.28571,0.17931,0.06626,2.5084,3.12933,2.66822,0.000482,0.000482,0.000482
117,2225.29,1.24808,1.69942,1.41581,0.30453,0.28571,0.17931,0.06626,2.5084,3.12933,2.66822,0.0004688,0.0004688,0.0004688
118,2248.92,1.36502,1.74565,1.53375,0.32751,0.21429,0.15986,0.0663,2.5521,3.17407,2.66622,0.0004556,0.0004556,0.0004556
119,2270.15,1.21043,1.70656,1.49347,0.3222,0.21429,0.17252,0.07267,2.57686,3.20812,2.61906,0.0004424,0.0004424,0.0004424
120,2287.41,1.18795,2.23156,1.54793,0.17706,0.28571,0.20275,0.08005,2.68033,3.20685,2.6649,0.0004292,0.0004292,0.0004292
121,2303.85,1.18028,1.67427,1.37655,0.17706,0.28571,0.20275,0.08005,2.68033,3.20685,2.6649,0.000416,0.000416,0.000416
122,2319.89,1.16662,1.68208,1.44503,0.14845,0.28571,0.12998,0.04694,2.67933,3.26004,2.70385,0.0004028,0.0004028,0.0004028
123,2342.19,1.21394,1.62052,1.45648,0.13893,0.28571,0.07746,0.02459,2.54897,3.26196,2.71548,0.0003896,0.0003896,0.0003896
124,2359.62,1.28363,1.64463,1.55584,0.07671,0.16069,0.07529,0.02533,2.48779,3.25623,2.67933,0.0003764,0.0003764,0.0003764
125,2376.56,1.20756,1.47031,1.32873,0.07671,0.16069,0.07529,0.02533,2.48779,3.25623,2.67933,0.0003632,0.0003632,0.0003632
126,2392.08,1.34413,1.75303,1.50781,0.06464,0.18799,0.06263,0.02271,2.44019,3.25116,2.66453,0.00035,0.00035,0.00035
127,2407.06,1.3831,1.7017,1.55486,0.07782,0.28571,0.06789,0.02902,2.44223,3.20195,2.7031,0.0003368,0.0003368,0.0003368
128,2429.15,1.22478,1.64978,1.45633,0.06927,0.21429,0.0605,0.02441,2.44028,3.18444,2.7331,0.0003236,0.0003236,0.0003236
129,2451.75,1.15575,1.63152,1.47437,0.06927,0.21429,0.0605,0.02441,2.44028,3.18444,2.7331,0.0003104,0.0003104,0.0003104
130,2472.07,1.30319,1.75889,1.47243,0.08902,0.21429,0.06731,0.02322,2.41452,3.15471,2.70846,0.0002972,0.0002972,0.0002972
131,2493.14,1.03446,1.49616,1.34798,0.12933,0.25527,0.07515,0.02499,2.37892,3.14734,2.65228,0.000284,0.000284,0.000284
132,2509.2,1.1527,1.63495,1.38187,0.12502,0.42857,0.09101,0.02621,2.36768,3.17202,2.62334,0.0002708,0.0002708,0.0002708
133,2526.96,1.2186,1.69293,1.49435,0.12502,0.42857,0.09101,0.02621,2.36768,3.17202,2.62334,0.0002576,0.0002576,0.0002576
134,2542.66,1.18326,1.74644,1.5113,0.10217,0.42857,0.09172,0.02514,2.38452,3.17604,2.61113,0.0002444,0.0002444,0.0002444
135,2557.62,1.25646,1.74547,1.47596,0.11932,0.35714,0.09505,0.02451,2.37202,3.1777,2.60717,0.0002312,0.0002312,0.0002312
136,2574.21,1.25049,1.68779,1.46303,0.17084,0.28571,0.09205,0.02764,2.37763,3.18006,2.57221,0.000218,0.000218,0.000218
137,2589.51,1.39326,1.92828,1.83166,0.17084,0.28571,0.09205,0.02764,2.37763,3.18006,2.57221,0.0002048,0.0002048,0.0002048
138,2604.54,1.11254,1.52101,1.31071,0.16602,0.28571,0.10495,0.03486,2.40949,3.16283,2.5574,0.0001916,0.0001916,0.0001916
139,2621.97,1.10029,1.43207,1.34767,0.16465,0.28571,0.08951,0.03339,2.47829,3.13359,2.65375,0.0001784,0.0001784,0.0001784
140,2637.37,1.06959,1.66984,1.33376,0.1537,0.21429,0.09119,0.0446,2.51327,3.10837,2.70256,0.0001652,0.0001652,0.0001652
141,2654.87,1.39368,2.05758,1.82104,0.1537,0.21429,0.09119,0.0446,2.51327,3.10837,2.70256,0.000152,0.000152,0.000152
142,2673.46,1.2424,1.6531,1.53341,0.18672,0.14286,0.13764,0.07076,2.49514,3.10254,2.71328,0.0001388,0.0001388,0.0001388
143,2689.37,1.19443,1.6694,1.51258,0.24076,0.14286,0.14578,0.06662,2.4953,3.11108,2.69788,0.0001256,0.0001256,0.0001256
144,2704.37,1.18344,1.89597,1.55751,0.29831,0.14286,0.13536,0.05896,2.58085,3.12826,2.76516,0.0001124,0.0001124,0.0001124
145,2721.95,0.90559,1.66013,1.38838,0.29831,0.14286,0.13536,0.05896,2.58085,3.12826,2.76516,9.92e-05,9.92e-05,9.92e-05
146,2737.14,1.09573,1.58954,1.38025,0.3124,0.28571,0.17835,0.06534,2.61638,3.14264,2.76413,8.6e-05,8.6e-05,8.6e-05
147,2752.67,0.89875,1.32273,1.34061,0.37574,0.28571,0.17729,0.06522,2.61696,3.14118,2.74557,7.28e-05,7.28e-05,7.28e-05
148,2770.62,0.92111,1.36249,1.36305,0.38709,0.28571,0.18651,0.06735,2.63229,3.13824,2.75586,5.96e-05,5.96e-05,5.96e-05
149,2798.53,1.32492,1.75626,1.69404,0.38709,0.28571,0.18651,0.06735,2.63229,3.13824,2.75586,4.64e-05,4.64e-05,4.64e-05
150,2815.31,1.10784,1.86265,1.5867,0.2546,0.21429,0.14252,0.06304,2.64956,3.13485,2.77185,3.32e-05,3.32e-05,3.32e-05
